,Retention time,BS10%2/3,compounds,,ret time,factor,y-value1,factor,y-value2,line 118,line 85
11,22.41,80.20,20_n-C15,,5,47,16,-9,5,118,85
,26.58,96.45,29_n-C17,,6,53,20,0,5,118,85
,28.51,91.78,32_n-C18,,7,60,25,9,6,118,85
,30.35,78.03,36_n-C19,,8,67,30,19,8,118,85
12,15.55,40.87,3_i-C13,,9,73,36,28,11,118,85
,17.06,68.18,7_i-C14,,10,80,41,38,15,118,85
,25.56,97.98,26_Norpri,,11,87,47,47,20,118,85
,26.70,110.93,30_Pri,,12,93,53,57,27,118,85
,28.69,100.55,33_Phy,,13,100,59,66,33,118,85
,19.60,82.68,84_i-C15,,14,107,64,76,41,118,85
,21.57,89.90,93_i-C16,,15,113,70,85,49,118,85
13,21.48,78.44,16_Br-Alk 169-3,,16,120,75,95,56,118,85
,29.68,91.27,35_Br-Alk 225-3,,17,127,80,104,64,118,85
,19.45,64.34,82_Br-Alk-169-1,,18,133,84,114,72,118,85
,21.48,76.15,91_Br-Alk-169-2,,19,140,88,123,78,118,85
,27.96,103.53,106_Br-alk-225-1 ,,20,147,92,133,85,118,85
,29.58,83.44,108_Br-alk-225-2,,21,153,95,142,90,118,85
21,25.65,102.42,31_n-C11-CyC6,,22,160,97,152,94,118,85
,23.48,83.67,100_ n-C9-CyC6 ,,23,167,99,161,97,118,85
22,18.97,80.55,10_C3-de peak,,24,173,100,171,99,118,85
,10.89,26.79,68_De,,25,180,100,180,100,118,85
,12.55,41.16,70_C1-de_s,,26,187,100,189,100,118,85
,14.12,53.70,77_C2-de_s,,27,193,100,199,100,118,85
23,12.22,34.67,1_1-M-Adam,,28,200,100,208,100,118,85
,15.18,57.87,"2_1,2-DM-Adam",,29,207,100,218,100,118,85
,15.37,59.59,"5_c-1,3,4-TM-Adam",,30,213,100,227,100,118,85
,16.64,69.52,8_2-E-Adam,,31,220,100,237,100,118,85
,12.96,45.99,"69_1,3,5-TM-Adam",,32,227,100,246,100,118,85
,14.05,46.89,71_2-M-Adam,,33,233,100,256,100,118,85
,14.34,51.11,"73_c-1,4-DM-Adam",,34,240,100,265,100,118,85
,14.48,50.81,"75_tr-1,4-DM-Adam",,35,247,100,275,100,118,85
,14.68,56.22,"76_1,3,6-TM-Adam",,36,253,100,284,100,118,85
,15.49,60.70,"78_tr-1,3,4-TM-Adam",,37,260,100,294,100,118,85
,15.61,64.59,"79_1,2,5,7-TeM-Adam ",,38,267,100,303,100,118,85
24,18.60,76.17,9_BS1,,39,273,100,313,100,118,85
,18.97,79.73,11_BS2,,40,280,100,322,100,118,85
,21.44,86.45,17_BS4,,41,287,100,332,100,118,85
,21.63,85.76,18_BS5,,42,293,100,341,100,118,85
,21.93,88.98,19_BS6,,43,300,100,351,100,118,85
,23.29,94.63,21_BS8,,44,307,100,360,100,118,85
,23.44,85.13,22_BS9,,45,313,100,369,100,118,85
,23.52,92.82,24_BS10,,46,320,100,379,100,118,85
,20.60,84.68,87_BS3,,47,327,100,388,100,118,85
25,22.51,0.00,95_ Diam,,48,333,100,398,100,118,85
,22.79,0.00,97_4-M-Diam,,49,340,100,407,100,118,85
26,36.84,100.19,51_C23Tr,,50,347,100,417,100,118,85
,37.66,99.50,52_C24Tr,,51,353,100,426,100,118,85
,33.97,0.00,120_C21Tr,,52,360,100,436,100,118,85
,39.30,96.96,129_C25Trab,,53,367,100,445,100,118,85
27,44.65,100.66,55_27Ts,,54,373,100,455,100,118,85
,45.14,93.69,57_27Tm,,55,380,100,464,100,118,85
,46.44,101.07,60_28ab,,56,387,100,474,100,118,85
,46.78,103.17,62_29ab,,57,393,100,483,100,118,85
,47.63,90.38,63_30O,,58,400,100,493,100,118,85
,47.78,100.00,64_30ab,,59,407,100,502,100,118,85
,48.93,99.60,66_31abS,,60,413,100,512,100,118,85
,49.24,0.00,67_30G,,,,,,,,
,43.14,94.90,135_C28 (22S),,,,,,,,
,43.46,0.00,136_C29 (22S),,,,,,,,
,46.44,102.59,142_25nor30ab,,,,,,,,
,46.86,110.36,144_29Ts,,,,,,,,
,48.22,94.90,145_30ba,,,,,,,,
,49.83,88.52,146_32abS,,,,,,,,
28,43.96,92.72,54_27bbR+S,,,,,,,,
,46.25,92.36,59_29bbR+S,,,,,,,,
,41.81,87.68,133_27dbS,,,,,,,,
,42.28,86.26,134_27dbR,,,,,,,,
,45.33,92.89,139_28bbR+S,,,,,,,,
,45.67,91.48,140_28aaR,,,,,,,,
,46.04,93.11,141_29aaS,,,,,,,,
,46.76,90.40,143_29aaR,,,,,,,,
31,16.66,47.48,6_C6_Benz,,,,,,,,
,19.22,64.66,12_C7_Benz,,,,,,,,
,26.03,89.09,28_C10_Benz,,,,,,,,
,35.30,80.20,45_C15-Benz,,,,,,,,
,38.46,79.42,53_C17-Benz,,,,,,,,
,30.01,105.36,110_C12-Benz,,,,,,,,
32,23.61,91.46,23_m-C8-Tol,,,,,,,,
,23.99,90.31,25_o-C8-Tol,,,,,,,,
,25.75,100.89,27_m-C9-Tol,,,,,,,,
,18.99,69.68,81_m-C6-Tol,,,,,,,,
,19.36,80.74,83_ o-C6-Tol,,,,,,,,
,21.36,77.67,90_m-C7-Tol,,,,,,,,
,21.73,85.94,94_ o-C7-Tol,,,,,,,,
,28.15,106.68,101_ o-C9-Tol,,,,,,,,
,31.55,88.46,109_m-C11-Tol,,,,,,,,
,31.93,98.54,111_o-C11-Tol,,,,,,,,
,40.50,90.24,131_Phy-Tol,,,,,,,,
33,15.46,58.05,4_2-M-Tetralin,,,,,,,,
,13.99,34.13,72_Tetralin,,,,,,,,
,26.26,0.00,102_8H-A,,,,,,,,
,26.56,0.00,104_8H-Phe,,,,,,,,
34,19.54,68.93,13_B,,,,,,,,
,35.37,87.65,46_BaF,,,,,,,,
,14.56,8.56,74_N,,,,,,,,
,21.10,0.00,89_ANY,,,,,,,,
,44.12,90.16,137_BePy,,,,,,,,
,44.28,83.60,138_BaPy ,,,,,,,,
35,19.87,66.87,14_2-E-N,,,,,,,,
,20.13,79.69,"15_2,6+2,7-DM-N",,,,,,,,
,30.18,92.85,38_2-M-Phe,,,,,,,,
,30.60,95.99,40_1-M-Phe,,,,,,,,
,32.52,99.32,42_C2-phe_s,,,,,,,,
,34.92,97.93,44_2-M-Fl,,,,,,,,
,35.51,0.00,47_Retene,,,,,,,,
,35.73,93.38,48_2-M-Py,,,,,,,,
,36.10,97.43,49_4-M-Py,,,,,,,,
,36.21,92.69,50_1-M-Py,,,,,,,,
,17.93,36.99,80_1-M-N,,,,,,,,
,20.46,83.12,"85_1,3+1,7-DM-N",,,,,,,,
,20.54,82.40,"86_1,6-DM-N",,,,,,,,
,21.26,81.35,"92_1,2 -DM-N",,,,,,,,
,22.86,89.18,"98_1,3,7-TM-N",,,,,,,,
,22.96,89.72,"99_1,3,6-TM-N",,,,,,,,
,26.54,92.28,103_1-M-F,,,,,,,,
,28.89,86.67,107_C2-f_s,,,,,,,,
,30.34,87.83,113_2-M-A,,,,,,,,
,31.75,89.76,114_1-E-Phe,,,,,,,,
,32.62,94.21,"115_1,7 DM-Phe",,,,,,,,
,34.51,98.08,121_C3-phe_s,,,,,,,,
,36.89,92.95,122_C4-phe_s,,,,,,,,
,36.89,101.13,124_Te-M-Phe,,,,,,,,
,37.97,97.46,126_C2-fl,,,,,,,,
,40.74,93.88,132_C1-chr,,,,,,,,
36,29.32,95.57,34_4-M-Dbt,,,,,,,,
,30.11,93.30,37_1-M-Dbt,,,,,,,,
,31.53,94.63,41_C2-dbt_s,,,,,,,,
,20.13,75.25,88_C2-bt_s,,,,,,,,
,33.12,85.21,116_C3-dbt_s,,,,,,,,
,37.91,90.42,127_BNT,,,,,,,,
37,45.12,0.00,56_SC26 TA,,,,,,,,
,46.00,84.51,58_RC26TA+SC27 TA,,,,,,,,
,46.71,0.00,61_SC28 TA,,,,,,,,
,47.95,86.11,65_RC28 TA,,,,,,,,
,38.73,99.18,128_C20TA,,,,,,,,
,40.08,95.79,130_C21 TA,,,,,,,,
41,30.60,0.00,39_FAME 16:0,,,,,,,,
,33.76,0.00,43_FAME 18:0,,,,,,,,
,22.65,0.00,96_FAME 12:0,,,,,,,,
,26.76,0.00,105_FAME 14:0,,,,,,,,
,30.07,0.00,112_FAME 16:1,,,,,,,,
,33.37,0.00,117_FAME 18:2,,,,,,,,
,33.37,0.00,118_FAME 18:1 + 18:3,,,,,,,,
,36.81,0.00,123_FAME 20:1,,,,,,,,
,38.95,0.00,125_FAME 20:0,,,,,,,,
